PTT,DATE,TIME,LC,LAT1,LONG1
105292,2011/03/16,08:59:40,B,-36.7360,32.3600
105292,2011/03/16,10:05:40,0,-36.3130,30.9080
105292,2011/03/16,10:34:40,B,-36.2130,30.7890
105291,2011/03/16,08:59:00,0,-35.9220,29.6960
105291,2011/03/16,10:39:00,B,-35.8730,29.8680
105290,2011/03/16,10:05:47,0,-46.5610,37.9290
105290,2011/03/16,10:31:02,0,-46.5980,37.9180
105297,2011/03/16,10:05:36,0,-39.0340,37.3390
105297,2011/03/16,10:33:51,0,-39.0010,37.3420
105296,2011/03/17,08:43:07,0,-43.6720,37.7850
105296,2011/03/17,09:48:37,0,-43.9570,37.2520
105296,2011/03/17,10:22:52,0,-44.0050,37.2440
105295,2011/03/17,07:04:51,0,-34.4780,25.7930
105295,2011/03/17,07:51:51,1,-34.4650,25.8280
105295,2011/03/17,08:40:21,0,-34.5240,25.8170
105294,2011/03/17,07:04:47,A,-35.5640,36.9370
105294,2011/03/17,07:52:17,B,-36.4810,31.1560
105294,2011/03/17,10:28:47,B,-35.7160,30.9750
105293,2011/03/17,07:04:41,0,-34.8180,25.2000
105293,2011/03/17,07:52:29,0,-34.6010,24.8630
105293,2011/03/17,08:41:03,0,-34.6250,24.9290
105292,2011/03/17,08:40:40,1,-36.5110,21.6450
105291,2011/03/17,07:52:00,0,-34.6200,24.5240
105291,2011/03/17,08:40:30,1,-34.6940,24.5980
105290,2011/03/17,09:49:03,0,-40.5410,39.4350
105297,2011/03/17,07:55:51,B,-36.9570,32.7880
105297,2011/03/17,08:41:52,0,-36.7610,32.2620
105296,2011/03/18,07:30:23,0,-44.5220,37.1840
105296,2011/03/18,08:23:05,0,-44.2070,37.0480
105296,2011/03/18,09:39:23,0,-43.5680,36.6700
105296,2011/03/18,10:16:33,A,-43.4440,36.7010
105295,2011/03/18,07:28:51,1,-34.5480,24.9460
105295,2011/03/18,08:14:21,0,-34.5070,25.0660
105294,2011/03/18,07:33:48,A,-35.2800,22.5930
105294,2011/03/18,08:20:48,1,-35.5300,22.4280
105293,2011/03/18,07:29:13,A,-34.2780,25.4970
105293,2011/03/18,08:14:53,2,-34.4650,25.4610
105292,2011/03/18,07:28:59,0,-36.6080,20.6770
105292,2011/03/18,07:33:24,0,-36.5760,20.6690
105292,2011/03/18,08:14:09,0,-36.6510,20.6730
105291,2011/03/18,07:29:20,0,-34.7210,24.5000
105291,2011/03/18,08:15:00,1,-34.7700,24.4270
105290,2011/03/18,07:33:04,B,-44.2980,39.1120
105290,2011/03/18,09:38:34,0,-45.9180,39.1500
105290,2011/03/18,10:12:04,0,-46.0100,38.9860
105297,2011/03/18,08:14:22,1,-34.4750,25.7640
105296,2011/03/19,07:56:53,0,-38.5900,30.6630
105295,2011/03/19,07:21:52,0,-35.3630,22.8860
105295,2011/03/19,07:56:15,0,-35.3640,22.5890
105295,2011/03/19,09:39:52,B,-35.4430,22.4690
105294,2011/03/19,07:04:48,0,-36.4340,19.9970
105294,2011/03/19,07:20:48,A,-36.3090,19.9230
105294,2011/03/19,07:57:18,0,-36.2470,19.8080
105294,2011/03/19,09:40:18,0,-36.0780,19.9700
105293,2011/03/19,07:56:45,1,-34.6070,25.1810
105292,2011/03/19,07:06:03,1,-36.4700,20.4030
105292,2011/03/19,07:23:09,A,-36.5190,20.3890
105292,2011/03/19,07:56:27,0,-36.5790,20.4680
105292,2011/03/19,08:49:09,B,-36.6630,20.3540
105292,2011/03/19,09:39:54,0,-35.9340,20.0560
105291,2011/03/19,07:05:00,2,-34.7330,24.2130
105291,2011/03/19,07:57:10,3,-34.7300,24.2190
105291,2011/03/19,09:42:00,B,-34.7420,24.1820
105290,2011/03/19,07:57:55,0,-40.0070,40.6820
105290,2011/03/19,09:29:35,A,-39.7050,40.3920
105290,2011/03/19,10:06:05,B,-39.6990,40.1970
105297,2011/03/19,07:06:35,0,-34.5030,25.5050
105297,2011/03/19,07:56:03,0,-34.5090,25.5470
105296,2011/03/20,07:37:31,0,-36.3640,20.9370
105296,2011/03/20,08:22:41,0,-36.2900,20.6450
105296,2011/03/20,09:14:53,0,-36.2080,20.2340
105296,2011/03/20,11:00:53,B,-36.1590,20.0040
105295,2011/03/20,07:07:38,0,-35.3190,19.9980
105295,2011/03/20,07:38:33,1,-35.3730,20.0910
105295,2011/03/20,08:23:38,1,-35.3790,20.0710
105295,2011/03/20,09:14:53,0,-35.5290,19.9840
105295,2011/03/20,10:59:53,A,-35.6620,19.9700
105294,2011/03/20,07:09:19,0,-35.5770,18.9110
105294,2011/03/20,07:38:39,0,-35.4000,18.8450
105294,2011/03/20,08:23:49,2,-35.4240,18.7670
105294,2011/03/20,09:14:49,0,-35.3850,18.8120
105294,2011/03/20,11:00:19,0,-35.9650,18.5930
105293,2011/03/20,07:09:54,B,-34.5090,25.5150
105293,2011/03/20,07:37:10,1,-34.5000,25.5640
105293,2011/03/20,08:21:54,B,-34.5120,25.5950
105293,2011/03/20,09:18:54,1,-34.4870,25.6740
105293,2011/03/20,11:00:24,B,-34.5050,25.7470
105292,2011/03/20,07:11:08,0,-35.5260,19.6190
105292,2011/03/20,07:39:58,0,-35.6220,19.8000
105292,2011/03/20,08:24:28,0,-35.6970,19.7350
105292,2011/03/20,09:14:38,0,-35.6460,19.7250
105291,2011/03/20,07:09:00,0,-34.5940,24.3610
105291,2011/03/20,07:38:30,0,-34.6950,24.2260
105291,2011/03/20,09:19:30,B,-34.7000,24.1940
105291,2011/03/20,11:00:00,A,-34.7080,24.1580
105290,2011/03/20,10:59:35,B,-38.8930,32.2180
105297,2011/03/20,07:40:09,0,-40.9290,22.9580
105297,2011/03/20,08:25:07,0,-41.1090,22.7480
105297,2011/03/20,09:21:16,0,-41.2260,22.4750
105297,2011/03/20,10:56:24,A,-41.6820,22.8110
105297,2011/03/21,08:58:25,A,-45.5520,31.3160
105296,2011/03/21,07:03:53,B,-36.1460,19.9880
105296,2011/03/21,07:18:53,B,-36.2360,19.9510
105296,2011/03/21,08:57:53,B,-35.9840,19.7970
105296,2011/03/21,10:52:53,B,-35.7860,19.5120
105295,2011/03/21,07:02:53,B,-36.8860,18.7960
105295,2011/03/21,07:13:53,2,-35.5930,19.9370
105295,2011/03/21,07:58:53,2,-35.6040,19.9500
105295,2011/03/21,08:56:53,A,-35.6910,20.1760
105295,2011/03/21,10:49:53,0,-35.5410,20.3770
105294,2011/03/21,07:58:49,A,-41.0820,23.6260
105293,2011/03/21,07:11:54,0,-35.3880,28.8740
105293,2011/03/21,07:58:09,0,-34.8110,24.6120
105293,2011/03/21,08:56:54,2,-34.7140,24.6340
105293,2011/03/21,10:49:24,1,-34.6950,24.6220
105292,2011/03/21,07:01:38,B,-36.2320,20.4100
105292,2011/03/21,07:14:08,B,-36.4490,19.3160
105292,2011/03/21,07:58:08,2,-36.5480,20.3470
105292,2011/03/21,08:57:38,0,-36.4620,20.2090
105292,2011/03/21,10:54:58,A,-36.5760,20.4190
105291,2011/03/21,07:14:00,2,-34.7730,24.0470
105291,2011/03/21,07:59:00,1,-34.8150,24.0720
105291,2011/03/21,08:57:20,0,-34.7680,24.0570
105291,2011/03/21,10:55:15,2,-34.7120,24.0540
105290,2011/03/21,07:02:35,B,-37.3730,30.3040
105290,2011/03/21,07:13:35,B,-41.4600,30.4340
105290,2011/03/21,07:57:35,B,-41.2140,30.3640
105290,2011/03/21,10:49:05,0,-38.9550,24.3010
105297,2011/03/21,07:14:25,B,-43.9930,22.9350
105297,2011/03/21,08:03:25,B,-45.6070,30.4450
105297,2011/03/21,08:58:25,A,-45.5520,31.3160
105297,2011/03/21,10:47:55,0,-45.7080,31.9180
105296,2011/03/22,07:02:23,B,-35.6860,19.7090
105296,2011/03/22,07:34:53,A,-35.8620,19.8150
105296,2011/03/22,08:37:11,0,-36.0550,20.1240
105296,2011/03/22,10:39:53,B,-36.2070,20.2290
105295,2011/03/22,07:03:54,B,-35.6140,21.6720
105295,2011/03/22,07:33:54,A,-35.8860,20.7190
105295,2011/03/22,08:37:24,1,-35.8860,20.7060
105295,2011/03/22,10:44:18,1,-35.8380,20.6830
105294,2011/03/22,08:39:35,0,-44.7120,23.9670
105294,2011/03/22,10:35:50,0,-45.0640,23.8100
105293,2011/03/22,07:02:54,A,-34.4000,24.6060
105293,2011/03/22,07:34:30,3,-34.6240,24.7750
105293,2011/03/22,08:38:04,0,-34.6400,24.8370
105293,2011/03/22,10:39:24,2,-34.7520,24.8300
105292,2011/03/22,07:01:37,B,-36.8500,20.2730
105292,2011/03/22,07:34:17,0,-36.3050,19.5370
105292,2011/03/22,08:40:07,0,-36.5630,19.7530
105292,2011/03/22,10:43:17,A,-37.1650,20.1760
105291,2011/03/22,07:02:00,B,-34.4110,23.9080
105291,2011/03/22,07:35:00,2,-34.6890,24.0440
105291,2011/03/22,08:37:00,2,-34.7970,24.0160
105291,2011/03/22,10:40:00,1,-34.8070,23.9800
105290,2011/03/22,07:02:56,A,-40.4820,22.4880
105290,2011/03/22,07:34:36,0,-38.6840,20.4360
105290,2011/03/22,08:37:46,0,-38.9630,20.3050
105297,2011/03/22,07:04:56,0,-46.5370,36.7720
105297,2011/03/22,07:36:56,A,-46.0060,38.0740
105297,2011/03/22,08:40:26,B,-46.0330,38.0250
105297,2011/03/22,10:37:26,0,-46.3420,37.7730
105296,2011/03/23,07:10:06,0,-36.4670,20.2510
105296,2011/03/23,08:14:24,0,-36.4170,20.2250
105296,2011/03/23,09:58:24,B,-36.4080,20.1460
105295,2011/03/23,07:11:17,0,-36.4460,21.2380
105295,2011/03/23,08:13:24,0,-36.3720,21.2740
105295,2011/03/23,10:33:54,0,-36.5700,21.4060
105294,2011/03/23,10:26:21,0,-48.9560,31.9650
105294,2011/03/23,10:57:51,1,-48.9020,32.3470
105293,2011/03/23,07:11:29,1,-34.8510,23.5120
105293,2011/03/23,08:12:10,3,-34.8390,23.5170
105293,2011/03/23,10:29:55,0,-34.8260,23.5160
105292,2011/03/23,07:10:57,A,-41.0630,21.4860
105292,2011/03/23,08:14:07,0,-40.9220,20.5990
105292,2011/03/23,08:54:37,B,-40.9160,20.6750
105292,2011/03/23,10:28:37,0,-41.2280,21.8060
105292,2011/03/23,10:59:37,B,-41.2600,21.9280
105291,2011/03/23,07:12:10,3,-34.7390,23.9700
105291,2011/03/23,08:12:30,3,-34.7380,23.9750
105291,2011/03/23,10:29:00,B,-34.8060,24.0880
105290,2011/03/23,07:10:06,B,-42.0030,18.3940
105290,2011/03/23,08:52:36,A,-39.5920,13.4120
105290,2011/03/23,10:02:36,B,-39.5720,13.5140
105297,2011/03/23,10:29:28,0,-36.9150,28.9750
105297,2011/03/23,11:00:28,A,-36.8850,28.8400
105296,2011/03/24,08:30:18,0,-35.6520,20.7750
105296,2011/03/24,09:37:06,0,-35.5800,20.6930
105294,2011/03/24,10:17:08,0,-44.8530,34.7770
105293,2011/03/24,07:56:35,0,-34.6980,24.6350
105292,2011/03/24,07:55:57,0,-43.0090,29.1880
105292,2011/03/24,10:16:52,0,-43.2840,30.2770
105292,2011/03/24,10:47:49,0,-43.3730,30.4540
105291,2011/03/24,07:55:00,2,-34.6960,24.4760
105291,2011/03/24,10:23:00,B,-34.6960,24.5070
105291,2011/03/24,10:52:30,B,-34.7310,24.6220
105297,2011/03/24,09:37:58,B,-34.3840,25.8940
105297,2011/03/24,10:19:28,1,-34.4190,25.7990
105296,2011/03/25,07:29:24,1,-35.1400,20.0360
105296,2011/03/25,08:06:24,1,-35.1630,20.0730
105296,2011/03/25,09:13:24,1,-35.1520,20.1060
105295,2011/03/25,07:35:22,0,-34.4630,25.3740
105295,2011/03/25,08:09:55,B,-34.4590,25.3800
105295,2011/03/25,09:13:55,0,-34.5390,25.4360
105294,2011/03/25,10:06:34,0,-45.2390,39.1260
105294,2011/03/25,10:43:34,0,-45.0880,39.3630
105293,2011/03/25,07:28:55,0,-34.6370,25.0290
105293,2011/03/25,08:06:55,1,-34.6400,25.0540
105293,2011/03/25,09:13:15,0,-34.3510,25.1990
105293,2011/03/25,10:09:55,B,-34.3090,25.2470
105292,2011/03/25,07:37:50,0,-46.0520,38.0980
105292,2011/03/25,10:06:07,0,-45.2200,38.3650
105292,2011/03/25,10:43:07,0,-45.0130,38.4350
105291,2011/03/25,07:30:00,2,-34.7390,24.6540
105291,2011/03/25,08:03:00,B,-34.7350,24.6620
105291,2011/03/25,09:14:30,1,-34.7030,24.6600
105290,2011/03/25,08:06:07,0,-38.1280,24.5460
105290,2011/03/25,09:13:37,0,-38.1150,24.6130
105290,2011/03/25,10:10:07,B,-38.0040,24.6140
105297,2011/03/25,07:36:18,2,-34.4160,25.8150
105297,2011/03/25,08:05:29,1,-34.4090,25.8210
105297,2011/03/25,09:13:59,1,-34.3960,25.8360
105296,2011/03/26,07:11:54,0,-35.7220,20.0170
105296,2011/03/26,07:39:54,A,-35.7290,20.4130
105296,2011/03/26,07:43:12,0,-35.8590,20.3410
